,video_path,frame,birdie_visible,birdie_x,birdie_y,birdie_hit,stroke
0,match12/rally_video/1_01_00.mp4,0,0,0,0,0,
1,match12/rally_video/1_01_00.mp4,1,0,0,0,0,
2,match12/rally_video/1_01_00.mp4,2,0,0,0,0,
3,match12/rally_video/1_01_00.mp4,3,0,0,0,0,
4,match12/rally_video/1_01_00.mp4,4,0,0,0,0,
5,match12/rally_video/1_01_00.mp4,5,0,0,0,0,
6,match12/rally_video/1_01_00.mp4,6,0,0,0,0,
7,match12/rally_video/1_01_00.mp4,7,0,0,0,0,
8,match12/rally_video/1_01_00.mp4,8,0,0,0,0,
9,match12/rally_video/1_01_00.mp4,9,0,0,0,0,
10,match12/rally_video/1_01_00.mp4,10,0,0,0,0,
11,match12/rally_video/1_01_00.mp4,11,0,0,0,0,
12,match12/rally_video/1_01_00.mp4,12,0,0,0,0,
13,match12/rally_video/1_01_00.mp4,13,0,0,0,0,
14,match12/rally_video/1_01_00.mp4,14,0,0,0,1,short_serve
15,match12/rally_video/1_01_00.mp4,15,0,0,0,0,
16,match12/rally_video/1_01_00.mp4,16,1,643,387,0,
17,match12/rally_video/1_01_00.mp4,17,1,640,374,0,
18,match12/rally_video/1_01_00.mp4,18,1,636,365,0,
19,match12/rally_video/1_01_00.mp4,19,1,632,360,0,
20,match12/rally_video/1_01_00.mp4,20,1,626,353,0,
21,match12/rally_video/1_01_00.mp4,21,1,622,348,0,
22,match12/rally_video/1_01_00.mp4,22,1,619,345,0,
23,match12/rally_video/1_01_00.mp4,23,1,615,340,0,
24,match12/rally_video/1_01_00.mp4,24,1,612,339,0,
25,match12/rally_video/1_01_00.mp4,25,1,609,339,0,
26,match12/rally_video/1_01_00.mp4,26,1,606,339,0,
27,match12/rally_video/1_01_00.mp4,27,1,604,341,0,
28,match12/rally_video/1_01_00.mp4,28,1,602,342,0,
29,match12/rally_video/1_01_00.mp4,29,1,601,345,0,
30,match12/rally_video/1_01_00.mp4,30,1,598,350,0,
31,match12/rally_video/1_01_00.mp4,31,1,597,352,0,
32,match12/rally_video/1_01_00.mp4,32,1,595,360,0,
33,match12/rally_video/1_01_00.mp4,33,1,593,365,0,
34,match12/rally_video/1_01_00.mp4,34,1,592,371,0,
35,match12/rally_video/1_01_00.mp4,35,1,591,379,0,
36,match12/rally_video/1_01_00.mp4,36,1,588,385,0,
37,match12/rally_video/1_01_00.mp4,37,1,588,395,0,
38,match12/rally_video/1_01_00.mp4,38,1,587,404,0,
39,match12/rally_video/1_01_00.mp4,39,1,586,412,1,lob
40,match12/rally_video/1_01_00.mp4,40,1,601,382,0,
41,match12/rally_video/1_01_00.mp4,41,1,617,349,0,
42,match12/rally_video/1_01_00.mp4,42,1,629,321,0,
43,match12/rally_video/1_01_00.mp4,43,1,641,296,0,
44,match12/rally_video/1_01_00.mp4,44,1,652,271,0,
45,match12/rally_video/1_01_00.mp4,45,1,663,250,0,
46,match12/rally_video/1_01_00.mp4,46,1,674,229,0,
47,match12/rally_video/1_01_00.mp4,47,1,683,212,0,
48,match12/rally_video/1_01_00.mp4,48,1,694,194,0,
49,match12/rally_video/1_01_00.mp4,49,1,703,179,0,
50,match12/rally_video/1_01_00.mp4,50,1,711,165,0,
51,match12/rally_video/1_01_00.mp4,51,1,720,154,0,
52,match12/rally_video/1_01_00.mp4,52,1,728,143,0,
53,match12/rally_video/1_01_00.mp4,53,1,736,133,0,
54,match12/rally_video/1_01_00.mp4,54,1,745,125,0,
55,match12/rally_video/1_01_00.mp4,55,1,752,118,0,
56,match12/rally_video/1_01_00.mp4,56,1,759,111,0,
57,match12/rally_video/1_01_00.mp4,57,1,767,107,0,
58,match12/rally_video/1_01_00.mp4,58,1,773,104,0,
59,match12/rally_video/1_01_00.mp4,59,1,780,102,0,
60,match12/rally_video/1_01_00.mp4,60,1,787,101,0,
61,match12/rally_video/1_01_00.mp4,61,1,793,102,0,
62,match12/rally_video/1_01_00.mp4,62,1,799,104,0,
63,match12/rally_video/1_01_00.mp4,63,1,805,107,0,
64,match12/rally_video/1_01_00.mp4,64,1,811,111,0,
65,match12/rally_video/1_01_00.mp4,65,1,817,118,0,
66,match12/rally_video/1_01_00.mp4,66,1,821,124,0,
67,match12/rally_video/1_01_00.mp4,67,1,826,133,0,
68,match12/rally_video/1_01_00.mp4,68,1,832,143,0,
69,match12/rally_video/1_01_00.mp4,69,1,836,153,0,
70,match12/rally_video/1_01_00.mp4,70,1,840,166,0,
71,match12/rally_video/1_01_00.mp4,71,1,845,179,0,
72,match12/rally_video/1_01_00.mp4,72,1,848,193,0,
73,match12/rally_video/1_01_00.mp4,73,1,852,208,0,
74,match12/rally_video/1_01_00.mp4,74,1,856,226,0,
75,match12/rally_video/1_01_00.mp4,75,1,859,242,0,
76,match12/rally_video/1_01_00.mp4,76,1,863,261,0,
77,match12/rally_video/1_01_00.mp4,77,1,865,280,0,
78,match12/rally_video/1_01_00.mp4,78,1,868,298,0,
79,match12/rally_video/1_01_00.mp4,79,1,871,320,0,
80,match12/rally_video/1_01_00.mp4,80,1,873,337,1,clear
81,match12/rally_video/1_01_00.mp4,81,1,850,259,0,
82,match12/rally_video/1_01_00.mp4,82,1,834,209,0,
83,match12/rally_video/1_01_00.mp4,83,1,824,173,0,
84,match12/rally_video/1_01_00.mp4,84,1,816,148,0,
85,match12/rally_video/1_01_00.mp4,85,1,809,128,0,
86,match12/rally_video/1_01_00.mp4,86,1,804,113,0,
87,match12/rally_video/1_01_00.mp4,87,1,800,100,0,
88,match12/rally_video/1_01_00.mp4,88,1,796,90,0,
89,match12/rally_video/1_01_00.mp4,89,1,793,82,0,
90,match12/rally_video/1_01_00.mp4,90,1,790,77,0,
91,match12/rally_video/1_01_00.mp4,91,1,788,73,0,
92,match12/rally_video/1_01_00.mp4,92,1,786,70,0,
93,match12/rally_video/1_01_00.mp4,93,1,783,68,0,
94,match12/rally_video/1_01_00.mp4,94,1,782,67,0,
95,match12/rally_video/1_01_00.mp4,95,1,781,67,0,
96,match12/rally_video/1_01_00.mp4,96,1,780,68,0,
97,match12/rally_video/1_01_00.mp4,97,1,779,70,0,
98,match12/rally_video/1_01_00.mp4,98,1,778,72,0,
99,match12/rally_video/1_01_00.mp4,99,1,777,76,0,
100,match12/rally_video/1_01_00.mp4,100,1,777,79,0,
101,match12/rally_video/1_01_00.mp4,101,1,777,83,0,
102,match12/rally_video/1_01_00.mp4,102,1,775,88,0,
103,match12/rally_video/1_01_00.mp4,103,1,776,93,0,
104,match12/rally_video/1_01_00.mp4,104,1,776,100,0,
105,match12/rally_video/1_01_00.mp4,105,1,776,106,0,
106,match12/rally_video/1_01_00.mp4,106,1,775,113,0,
107,match12/rally_video/1_01_00.mp4,107,1,776,120,0,
108,match12/rally_video/1_01_00.mp4,108,1,776,129,0,
109,match12/rally_video/1_01_00.mp4,109,1,776,137,0,
110,match12/rally_video/1_01_00.mp4,110,1,776,145,0,
111,match12/rally_video/1_01_00.mp4,111,1,776,155,0,
112,match12/rally_video/1_01_00.mp4,112,1,777,164,0,
113,match12/rally_video/1_01_00.mp4,113,1,777,173,0,
114,match12/rally_video/1_01_00.mp4,114,1,777,183,0,
115,match12/rally_video/1_01_00.mp4,115,1,778,192,0,
116,match12/rally_video/1_01_00.mp4,116,1,779,203,0,
117,match12/rally_video/1_01_00.mp4,117,1,778,213,0,
118,match12/rally_video/1_01_00.mp4,118,1,779,224,0,
119,match12/rally_video/1_01_00.mp4,119,1,783,237,1,drop
120,match12/rally_video/1_01_00.mp4,120,1,781,237,0,
121,match12/rally_video/1_01_00.mp4,121,1,784,240,0,
122,match12/rally_video/1_01_00.mp4,122,1,787,242,0,
123,match12/rally_video/1_01_00.mp4,123,1,789,245,0,
124,match12/rally_video/1_01_00.mp4,124,1,791,251,0,
125,match12/rally_video/1_01_00.mp4,125,1,793,254,0,
126,match12/rally_video/1_01_00.mp4,126,1,795,260,0,
127,match12/rally_video/1_01_00.mp4,127,1,797,264,0,
128,match12/rally_video/1_01_00.mp4,128,1,798,271,0,
129,match12/rally_video/1_01_00.mp4,129,1,799,279,0,
130,match12/rally_video/1_01_00.mp4,130,1,801,287,0,
131,match12/rally_video/1_01_00.mp4,131,1,803,297,0,
132,match12/rally_video/1_01_00.mp4,132,1,804,305,0,
133,match12/rally_video/1_01_00.mp4,133,1,805,316,0,
134,match12/rally_video/1_01_00.mp4,134,1,807,327,0,
135,match12/rally_video/1_01_00.mp4,135,1,809,339,0,
136,match12/rally_video/1_01_00.mp4,136,1,810,351,0,
137,match12/rally_video/1_01_00.mp4,137,1,810,364,0,
138,match12/rally_video/1_01_00.mp4,138,1,812,378,0,
139,match12/rally_video/1_01_00.mp4,139,1,813,393,0,
140,match12/rally_video/1_01_00.mp4,140,1,814,407,0,
141,match12/rally_video/1_01_00.mp4,141,1,814,424,0,
142,match12/rally_video/1_01_00.mp4,142,1,815,440,1,net_shot
143,match12/rally_video/1_01_00.mp4,143,1,791,428,0,
144,match12/rally_video/1_01_00.mp4,144,1,766,407,0,
145,match12/rally_video/1_01_00.mp4,145,1,745,390,0,
146,match12/rally_video/1_01_00.mp4,146,1,725,374,0,
147,match12/rally_video/1_01_00.mp4,147,1,708,362,0,
148,match12/rally_video/1_01_00.mp4,148,1,692,352,0,
149,match12/rally_video/1_01_00.mp4,149,1,677,342,0,
150,match12/rally_video/1_01_00.mp4,150,1,662,335,0,
151,match12/rally_video/1_01_00.mp4,151,1,650,329,0,
152,match12/rally_video/1_01_00.mp4,152,1,637,325,0,
153,match12/rally_video/1_01_00.mp4,153,1,626,322,0,
154,match12/rally_video/1_01_00.mp4,154,1,615,319,0,
155,match12/rally_video/1_01_00.mp4,155,1,604,317,0,
156,match12/rally_video/1_01_00.mp4,156,1,596,317,0,
157,match12/rally_video/1_01_00.mp4,157,1,587,318,0,
158,match12/rally_video/1_01_00.mp4,158,1,578,319,0,
159,match12/rally_video/1_01_00.mp4,159,1,570,321,0,
160,match12/rally_video/1_01_00.mp4,160,1,563,324,0,
161,match12/rally_video/1_01_00.mp4,161,1,555,328,0,
162,match12/rally_video/1_01_00.mp4,162,1,549,333,0,
163,match12/rally_video/1_01_00.mp4,163,1,543,337,0,
164,match12/rally_video/1_01_00.mp4,164,1,537,343,0,
