,video_path,frame,player_A_visible,player_B_visible,player_A_court_x,player_A_court_y,player_A_img_x,player_A_img_y,player_B_court_x,player_B_court_y,player_B_img_x,player_B_img_y 
0,match21/rally_video/2_02_03.mp4,0,1,1,313,283,313,623,1021,366,516,698
1,match21/rally_video/2_02_03.mp4,1,1,1,318,283,314,623,1023,366,517,698
2,match21/rally_video/2_02_03.mp4,2,1,1,318,284,314,624,1029,367,519,699
3,match21/rally_video/2_02_03.mp4,3,1,1,318,284,314,624,1029,366,519,698
4,match21/rally_video/2_02_03.mp4,4,1,1,322,284,315,624,1031,366,520,699
5,match21/rally_video/2_02_03.mp4,5,1,1,327,285,316,625,1026,366,518,698
6,match21/rally_video/2_02_03.mp4,6,1,1,313,285,313,625,1026,367,518,699
7,match21/rally_video/2_02_03.mp4,7,1,1,299,285,310,625,1026,367,518,699
8,match21/rally_video/2_02_03.mp4,8,1,1,228,285,295,625,1026,367,518,699
9,match21/rally_video/2_02_03.mp4,9,1,1,213,285,292,625,1029,367,519,699
10,match21/rally_video/2_02_03.mp4,10,1,1,168,286,283,626,1029,367,519,699
11,match21/rally_video/2_02_03.mp4,11,1,1,218,286,293,626,1029,367,519,699
12,match21/rally_video/2_02_03.mp4,12,1,1,193,286,288,626,1031,366,520,699
13,match21/rally_video/2_02_03.mp4,13,1,1,299,287,310,626,1034,365,521,698
14,match21/rally_video/2_02_03.mp4,14,1,1,193,288,288,627,1034,365,521,698
15,match21/rally_video/2_02_03.mp4,15,1,1,313,287,313,626,1036,365,522,698
16,match21/rally_video/2_02_03.mp4,16,1,1,327,287,316,626,1036,365,522,698
17,match21/rally_video/2_02_03.mp4,17,1,1,332,288,317,627,1034,365,521,698
18,match21/rally_video/2_02_03.mp4,18,1,1,345,290,320,628,1036,366,522,699
19,match21/rally_video/2_02_03.mp4,19,1,1,341,291,319,629,1039,367,523,700
20,match21/rally_video/2_02_03.mp4,20,1,1,341,294,319,631,1039,367,523,700
21,match21/rally_video/2_02_03.mp4,21,1,1,336,297,318,633,1042,367,524,700
22,match21/rally_video/2_02_03.mp4,22,1,1,323,294,315,631,1039,368,523,701
23,match21/rally_video/2_02_03.mp4,23,1,1,309,295,312,632,1031,366,520,699
24,match21/rally_video/2_02_03.mp4,24,1,1,318,295,314,632,1026,366,518,698
25,match21/rally_video/2_02_03.mp4,25,1,1,304,298,311,634,1029,364,519,697
26,match21/rally_video/2_02_03.mp4,26,1,1,290,301,308,636,1021,363,516,695
27,match21/rally_video/2_02_03.mp4,27,1,1,295,305,309,639,1005,365,510,697
28,match21/rally_video/2_02_03.mp4,28,1,1,304,310,311,643,1018,361,515,693
29,match21/rally_video/2_02_03.mp4,29,1,1,300,315,310,646,1002,359,509,691
30,match21/rally_video/2_02_03.mp4,30,1,1,327,317,316,648,994,356,506,688
31,match21/rally_video/2_02_03.mp4,31,1,1,318,320,314,650,994,355,506,687
32,match21/rally_video/2_02_03.mp4,32,1,1,304,320,311,650,991,354,505,686
33,match21/rally_video/2_02_03.mp4,33,1,1,304,323,311,652,989,354,504,686
34,match21/rally_video/2_02_03.mp4,34,1,1,304,324,311,653,989,353,504,685
35,match21/rally_video/2_02_03.mp4,35,1,1,304,324,311,653,978,351,500,683
36,match21/rally_video/2_02_03.mp4,36,1,1,304,324,311,653,980,351,501,683
37,match21/rally_video/2_02_03.mp4,37,1,1,327,325,316,654,975,350,499,682
38,match21/rally_video/2_02_03.mp4,38,1,1,304,323,311,652,964,351,495,683
39,match21/rally_video/2_02_03.mp4,39,1,1,286,316,307,647,956,350,492,682
40,match21/rally_video/2_02_03.mp4,40,1,1,309,316,312,647,958,349,493,681
41,match21/rally_video/2_02_03.mp4,41,1,1,271,315,304,646,967,350,496,682
42,match21/rally_video/2_02_03.mp4,42,1,1,281,312,306,644,978,352,500,684
43,match21/rally_video/2_02_03.mp4,43,1,1,309,308,312,641,975,351,499,683
44,match21/rally_video/2_02_03.mp4,44,1,1,309,303,312,638,980,353,501,685
45,match21/rally_video/2_02_03.mp4,45,1,1,354,297,322,633,989,354,504,686
46,match21/rally_video/2_02_03.mp4,46,1,1,372,286,326,625,1005,354,510,686
47,match21/rally_video/2_02_03.mp4,47,1,1,341,283,319,623,1010,351,512,684
48,match21/rally_video/2_02_03.mp4,48,1,1,322,265,315,610,1010,349,512,682
49,match21/rally_video/2_02_03.mp4,49,1,1,389,253,330,601,1013,344,513,677
50,match21/rally_video/2_02_03.mp4,50,1,1,385,241,329,592,1023,340,517,673
51,match21/rally_video/2_02_03.mp4,51,1,1,407,238,334,589,1023,334,517,668
52,match21/rally_video/2_02_03.mp4,52,1,1,432,230,340,583,1015,325,514,659
53,match21/rally_video/2_02_03.mp4,53,1,1,445,224,343,578,1013,315,513,649
54,match21/rally_video/2_02_03.mp4,54,1,1,445,216,343,572,1005,305,510,640
55,match21/rally_video/2_02_03.mp4,55,1,1,436,213,341,570,1031,296,520,631
56,match21/rally_video/2_02_03.mp4,56,1,1,432,213,340,570,1044,294,525,629
57,match21/rally_video/2_02_03.mp4,57,1,1,432,208,340,566,1057,287,530,622
58,match21/rally_video/2_02_03.mp4,58,1,1,428,208,339,566,1082,280,540,615
59,match21/rally_video/2_02_03.mp4,59,1,1,432,206,340,565,1090,271,543,606
60,match21/rally_video/2_02_03.mp4,60,1,1,432,206,340,565,1057,264,530,600
61,match21/rally_video/2_02_03.mp4,61,1,1,419,211,337,569,1029,265,519,602
62,match21/rally_video/2_02_03.mp4,62,1,1,419,215,337,572,1034,263,521,600
63,match21/rally_video/2_02_03.mp4,63,1,1,415,214,336,571,1054,258,529,594
64,match21/rally_video/2_02_03.mp4,64,1,1,415,222,336,577,1067,256,534,592
65,match21/rally_video/2_02_03.mp4,65,1,1,415,226,336,580,1072,256,536,592
66,match21/rally_video/2_02_03.mp4,66,1,1,385,230,329,584,1070,261,535,597
67,match21/rally_video/2_02_03.mp4,67,1,1,376,240,327,591,1067,265,534,601
68,match21/rally_video/2_02_03.mp4,68,1,1,376,255,327,602,1082,268,540,604
69,match21/rally_video/2_02_03.mp4,69,1,1,376,252,327,600,1087,274,542,609
70,match21/rally_video/2_02_03.mp4,70,1,1,331,250,317,599,1087,282,542,617
71,match21/rally_video/2_02_03.mp4,71,1,1,322,261,315,607,1099,292,547,627
72,match21/rally_video/2_02_03.mp4,72,1,1,313,267,313,612,1112,306,552,641
73,match21/rally_video/2_02_03.mp4,73,1,1,336,273,318,616,1119,314,555,649
74,match21/rally_video/2_02_03.mp4,74,1,1,322,284,315,624,1133,320,561,655
