video_path,frame,player_A_visible,player_B_visible,player_A_court_x,player_A_court_y,player_A_img_x,player_A_img_y,player_B_court_x,player_B_court_y,player_B_img_x,player_B_img_y 
match2/rally_video/1_00_02.mp4,0,                          1,1,                          298,404,                          368,733,                          1038,287,                          555,644
match2/rally_video/1_00_02.mp4,1,                          1,1,                          293,404,                          367,733,                          1041,287,                          556,644
match2/rally_video/1_00_02.mp4,2,                          1,1,                          293,404,                          367,733,                          1041,285,                          556,642
match2/rally_video/1_00_02.mp4,3,                          1,1,                          298,403,                          368,732,                          1044,283,                          557,640
match2/rally_video/1_00_02.mp4,4,                          1,1,                          298,404,                          368,733,                          1044,283,                          557,640
match2/rally_video/1_00_02.mp4,5,                          1,1,                          293,403,                          367,732,                          1032,281,                          553,638
match2/rally_video/1_00_02.mp4,6,                          1,1,                          293,403,                          367,732,                          1032,282,                          553,639
match2/rally_video/1_00_02.mp4,7,                          1,1,                          293,403,                          367,732,                          1032,281,                          553,638
match2/rally_video/1_00_02.mp4,8,                          1,1,                          298,403,                          368,732,                          1029,281,                          552,638
match2/rally_video/1_00_02.mp4,9,                          1,1,                          298,403,                          368,732,                          1038,279,                          555,636
match2/rally_video/1_00_02.mp4,10,                          1,1,                          298,400,                          368,730,                          1026,280,                          551,637
match2/rally_video/1_00_02.mp4,11,                          1,1,                          293,399,                          367,729,                          1032,274,                          553,631
match2/rally_video/1_00_02.mp4,12,                          1,1,                          304,398,                          369,729,                          1029,274,                          552,631
match2/rally_video/1_00_02.mp4,13,                          1,1,                          298,399,                          368,729,                          1029,274,                          552,631
match2/rally_video/1_00_02.mp4,14,                          1,1,                          304,397,                          369,728,                          1023,274,                          550,631
match2/rally_video/1_00_02.mp4,15,                          1,1,                          304,397,                          369,728,                          1011,274,                          546,632
match2/rally_video/1_00_02.mp4,16,                          1,1,                          298,397,                          368,728,                          1008,274,                          545,632
match2/rally_video/1_00_02.mp4,17,                          1,1,                          293,400,                          367,730,                          1014,275,                          547,633
match2/rally_video/1_00_02.mp4,18,                          1,1,                          260,398,                          361,728,                          1011,274,                          546,632
match2/rally_video/1_00_02.mp4,19,                          1,1,                          260,400,                          361,729,                          1005,274,                          544,632
match2/rally_video/1_00_02.mp4,20,                          1,1,                          249,403,                          359,731,                          1014,274,                          547,632
match2/rally_video/1_00_02.mp4,21,                          1,1,                          238,406,                          357,733,                          1017,275,                          548,633
match2/rally_video/1_00_02.mp4,22,                          1,1,                          216,408,                          353,734,                          1020,278,                          549,635
match2/rally_video/1_00_02.mp4,23,                          1,1,                          205,409,                          351,734,                          1023,277,                          550,634
match2/rally_video/1_00_02.mp4,24,                          1,1,                          205,409,                          351,734,                          1026,276,                          551,633
match2/rally_video/1_00_02.mp4,25,                          1,1,                          205,409,                          351,734,                          1026,276,                          551,633
match2/rally_video/1_00_02.mp4,26,                          1,1,                          176,410,                          346,734,                          1023,278,                          550,635
match2/rally_video/1_00_02.mp4,27,                          1,1,                          176,411,                          346,735,                          1026,279,                          551,636
match2/rally_video/1_00_02.mp4,28,                          1,1,                          170,414,                          345,737,                          1032,279,                          553,636
match2/rally_video/1_00_02.mp4,29,                          1,1,                          176,416,                          346,738,                          1032,279,                          553,636
match2/rally_video/1_00_02.mp4,30,                          1,1,                          170,420,                          345,741,                          1032,279,                          553,636
match2/rally_video/1_00_02.mp4,31,                          1,1,                          170,420,                          345,741,                          1032,279,                          553,636
match2/rally_video/1_00_02.mp4,32,                          1,1,                          176,423,                          346,743,                          1038,278,                          555,635
match2/rally_video/1_00_02.mp4,33,                          1,1,                          170,423,                          345,743,                          1038,279,                          555,636
match2/rally_video/1_00_02.mp4,34,                          1,1,                          153,425,                          342,744,                          1047,277,                          558,634
match2/rally_video/1_00_02.mp4,35,                          1,1,                          153,425,                          342,744,                          1047,276,                          558,633
match2/rally_video/1_00_02.mp4,36,                          1,1,                          123,432,                          337,748,                          1053,277,                          560,634
match2/rally_video/1_00_02.mp4,37,                          1,1,                          123,434,                          337,749,                          1047,279,                          558,636
match2/rally_video/1_00_02.mp4,38,                          1,1,                          117,435,                          336,750,                          1056,280,                          561,637
match2/rally_video/1_00_02.mp4,39,                          1,1,                          93,439,                          332,752,                          1064,282,                          564,639
match2/rally_video/1_00_02.mp4,40,                          1,1,                          55,444,                          326,754,                          1076,285,                          568,642
match2/rally_video/1_00_02.mp4,41,                          1,1,                          4,448,                          318,755,                          1081,288,                          570,645
match2/rally_video/1_00_02.mp4,42,                          1,1,                          17,449,                          320,756,                          1079,290,                          569,647
match2/rally_video/1_00_02.mp4,43,                          1,1,                          17,449,                          320,756,                          1076,291,                          568,648
match2/rally_video/1_00_02.mp4,44,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,45,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,46,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,47,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,48,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,49,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,50,                          1,1,                          5,473,                          318,772,                          1101,291,                          577,648
match2/rally_video/1_00_02.mp4,51,                          1,1,                          5,478,                          318,775,                          1095,292,                          575,649
match2/rally_video/1_00_02.mp4,52,                          1,1,                          11,481,                          319,777,                          1095,293,                          575,650
match2/rally_video/1_00_02.mp4,53,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,54,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,55,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,56,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,57,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,58,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,59,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,60,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,61,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,62,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,63,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
match2/rally_video/1_00_02.mp4,64,                          0,0,                          -1,-1,                          -1,-1,                          -1,-1,                          -1,-1
